# Title : Bio-Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual bio-profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.2
# Date of update : 20230426142402
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,parameters,parameter_data_mode,date_update
coriolis/3902131/profiles/BR3902131_119.nc,20200104120720,-6.546,1.302,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083848
coriolis/3902131/profiles/BR3902131_120.nc,20200114110740,-6.304,1.134,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083849
coriolis/3902131/profiles/BR3902131_121.nc,20200124115820,-6.226,1.134,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083850
coriolis/3902131/profiles/BR3902131_122.nc,20200203121320,-6.320,1.109,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083851
coriolis/3902131/profiles/BR3902131_123.nc,20200213114820,-6.201,1.139,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083853
coriolis/3902131/profiles/BR3902131_124.nc,20200223115920,-6.407,0.921,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083854
coriolis/3902131/profiles/BR3902131_125.nc,20200304115740,-6.436,0.957,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083854
coriolis/3902131/profiles/BR3902131_126.nc,20200314114320,-6.532,0.872,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083856
coriolis/3902131/profiles/BR3902131_127.nc,20200324120320,-6.659,0.861,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083856
coriolis/3902131/profiles/BR3902131_128.nc,20200403120120,-6.706,1.047,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083857
coriolis/3902131/profiles/BR3902131_129.nc,20200413120020,-7.189,1.247,A,838,IF,PRES C1PHASE_DOXY C2PHASE_DOXY TEMP_DOXY DOXY,RRRRR,20210421083858
